shipment_id,order_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,shipping_cost,weight_kg,shipment_status,destination_city,delivery_attempts,delay_reason
S000033,O000033,LBC,TRK97637899,2024-03-31 13:17:00,2024-04-04,2024-04-05,80,10,Returned,Antipolo,1,Carrier backlog
S000034,O000034,2GO,,2024-01-06 10:12:00,2024-01-13,2024-01-15,150,3,Out for Delivery,Makati,1,Address issue
S000035,O000035,Ninja Van,TRK56441405,2024-12-27 01:21:00,,,350,1,In Transit,Pasig,1,Address issue
S000036,O000036,FedEx,,2025-08-07 17:53:00,2025-08-18,,100,3,Delayed,Antipolo,,Address issue
S000037,O000037,J&T Express,,2023-05-29 19:56:00,2023-06-02,2023-06-01,80,15,Preparing,Iloilo,1,Customer unavailable
S000038,O000038,JRS Express, 603420113 ,2025-09-20 10:26:00,2025-09-30,2025-10-06,120,2,Delivered,Quezon City,3,Warehouse delay
S000039,O000039,DHL,TRK89852137,2022-07-22 22:55:00,2022-07-28,2022-07-27,120,0.5,IN TRANSIT,Manila,1,Weather
S000040,O000040,FedEx,,2023-02-23 03:39:00,2023-03-03,2023-03-09,180,5,Delivered,Cebu City,1,
S000041,O000041,LBC,TRK91531734,2024-01-20 11:05:00,2024-01-21,2024-01-20,350,20,Returned,Caloocan,2,
S000042,O000042,Ninja Van,TRK50835829,2024-08-25 15:51:00,2024-09-05,2024-09-05,500,15,Out for Delivery,Antipolo,3,
S000043,O000043,LBC,TRK87201700,2022-11-04 14:02:00,2022-11-13,,500,,Lost,Taguig,1,Weather
S000044,O000044,J&T Express,,2022-09-03 22:31:00,2022-09-10,2022-09-16,120,0.5,In Transit,Makati,1,Warehouse delay
S000045,O000045,FedEx, 386487864 ,2023-03-31 17:23:00,2023-04-07,,,15, Out for Delivery ,Taguig,1,Address issue
S000046,O000046,DHL,,2024-09-24 14:17:00,2024-10-02,2024-10-07,180,2,Preparing, Quezon City,1,Customer unavailable
S000047,O000047,JRS Express,TRK21065801,2024-07-10 03:54:00,2024-07-12,2024-07-17,250,0.5,Delivered,Quezon City,,Customer unavailable
S000048,O000048,FedEx,,2025-03-09 23:34:00,2025-03-10,2025-03-17,150,15,Delayed,Cebu City,3,Weather
S000049,O000049,Ninja Van,,2023-12-17 07:04:00,2023-12-19,2023-12-21,80,5,In Transit,Makati,2,Weather
S000050,O000050,FedEx,TRK38156061,2025-11-07 00:52:00,2025-11-14,2025-11-12,180,3,In Transit,Cebu City,3,Carrier backlog
S000051,O000051,LBC, 952773505 ,2022-08-28 12:48:00,2022-09-02,2022-09-05,250,5,Returned,Caloocan,,Warehouse delay
S000052,O000052,JRS EXPRESS , 674851554 ,2023-08-07 00:50:00,2023-08-11,2023-08-15,180,3,Lost,Makati,1,Address issue
S000053,O000053,DHL, 339490791 ,2023-04-08 05:08:00,2023-04-11,,150,2, RETURNED , pasig ,1,Customer unavailable
S000054,O000054,DHL, 466240925 ,2023-08-18 21:39:00,2023-08-19,2023-08-19,250,5,Delayed,Caloocan,1,Weather
S000055,O000055,,,2025-11-28 17:50:00,2025-12-04,2025-12-05,80,20,Out for Delivery,Quezon City,2,Address issue
S000056,O000056,2GO, 397177244 ,2022-09-08 22:58:00,2022-09-15,2022-09-17,80,20,Returned,Pasig,,Customer unavailable
S000057,O000057,LBC, 979353783 ,2023-07-19 18:58:00,2023-07-27,2023-07-28,100,20,In Transit,Cebu City,1,Address issue
S000058,O000058,J&T Express,,2024-06-30 21:06:00,2024-07-07,2024-07-06,350,0.5,Delayed,Pasig,2,Weather
S000059,O000059,FedEx, 574007037 ,2023-11-11 01:11:00,2023-11-18,2023-11-16,350,15,Preparing,Makati,1,Address issue
S000060,O000060,DHL,TRK55232745,2022-12-30 18:50:00,2023-01-09,,,10,LOST,,1,Address issue
S000061,O000061,Ninja Van,TRK77258128,2024-08-02 20:55:00,2024-08-11,2024-08-18,250,10,Delivered,Cebu City,1,
S000062,O000062,DHL, 209294750 ,2025-11-03 22:16:00,2025-11-15,2025-11-14,,0.5,Lost,Manila,,Warehouse delay
S000063,O000063,FedEx,TRK32107858,2025-12-02 09:59:00,2025-12-09,,500,2, Lost,Caloocan,1,Customer unavailable
S000064,O000064,2GO, 245300447 ,2022-01-20 01:53:00,,,350,5,Preparing,Iloilo,1,Carrier backlog
S000065,O000065,LBC,TRK45175938,2025-07-28 15:21:00,2025-08-07,2025-08-14,150,5,Lost,Taguig,2,Carrier backlog
S000066,O000066,NINJA VAN ,TRK77942042,2022-09-30 13:23:00,,,100,15,Delayed,ANTIPOLO ,,Weather
S000067,O000067,DHL,,2024-05-11 11:44:00,2024-05-15,2024-05-22,180,20,Out for Delivery ,Davao City,1,Address issue
S000068,O000068, 2go , 216109798 ,2025-08-20 12:29:00,2025-08-31,2025-08-31,500,10,Returned,Taguig,,Carrier backlog
S000069,O000069,JRS Express, 145388938 ,2022-10-14 09:46:00,2022-10-15,2022-10-22,80,, Preparing ,Manila,2,Warehouse delay
S000070,O000070,FedEx, 295116790 ,2025-05-18 06:46:00,2025-05-29,2025-06-05,180,10,Returned, PASIG,1,Customer unavailable
S000071,O000071,FedEx,,2025-10-07 15:30:00,2025-10-14,2025-10-15,150,10,Lost,Cebu City,1,Weather
S000072,O000072,LBC,,2023-02-27 15:47:00,2023-03-05,2023-03-05,80,1,Preparing,Quezon City,1,Address issue
S000073,O000073,DHL,,2025-12-01 09:44:00,2025-12-09,2025-12-15,250,15,Returned,Cebu City,1,Weather
S000074,O000074,,,2023-12-14 02:09:00,2023-12-23,2023-12-21,350,5,Delayed,Davao City,,Weather
S000075,O000075,JRS Express,TRK61855538,2022-05-13 07:00:00,2022-05-25,2022-05-28,500,0.5,In Transit,Quezon City,1,Customer unavailable
S000076,O000076,2GO, 896983153 ,2023-10-09 12:20:00,2023-10-21,2023-10-21,120,5,Out for Delivery,Davao City,3,Carrier backlog
S000077,O000077,DHL,,2025-05-28 11:46:00,2025-06-03,2025-06-03,,2,Out for Delivery,Quezon City,1,Weather
S000078,O000078,2GO,TRK55347372,2023-08-15 05:08:00,2023-08-22,,80,0.5,Delivered,Caloocan,3,Carrier backlog
S000079,O000079,J&T Express, 542987049 ,2024-01-03 05:59:00,2024-01-13,2024-01-13,150,2,Out for Delivery, Caloocan ,1,Carrier backlog
S000080,O000080,,TRK55348488,2022-12-14 10:20:00,2022-12-21,2022-12-28,500,20,Delivered,Makati,1,Weather
S000081,O000081,JRS Express, 770575843 ,2025-08-04 10:00:00,2025-08-05,2025-08-10,120,10,Lost,PASIG ,1,
S000082,O000082,Ninja Van, 736331585 ,2025-11-14 05:10:00,2025-11-22,,180,5,Out for Delivery,Caloocan,1,
S000083,O000083, DHL, 731903299 ,2024-11-30 03:23:00,2024-12-08,2024-12-09,80,10,Delivered,Pasig,1,Address issue
S000084,O000084,DHL,,2026-01-09 19:43:00,2026-01-16,2026-01-18,,2,In Transit,,1,Warehouse delay
S000085,O000085,J&T Express,,2022-11-17 10:45:00,2022-11-27,,500,15,Preparing,Caloocan,1,Warehouse delay
S000086,O000086,DHL,,2025-10-05 00:16:00,2025-10-12,2025-10-18,250,5,Preparing,Manila,2,Customer unavailable
S000087,O000087,DHL,TRK21730512,2023-10-13 03:16:00,2023-10-15,2023-10-18,100,15,Lost,Antipolo,2,Weather
S000088,O000088,JRS Express,TRK37278264,2024-09-09 07:30:00,2024-09-20,2024-09-25,120,10,In Transit,Pasig,1,Warehouse delay
S000089,O000089,J&T Express, 776068474 ,2023-12-24 22:05:00,2024-01-05,2024-01-10,,10,Out for Delivery,Makati,2,
S000090,O000090,LBC,TRK38373107,2025-08-06 07:26:00,2025-08-15,2025-08-22,500,20,returned ,Taguig,2,Weather
S000091,O000091,J&T Express,TRK44892578,2025-12-20 03:39:00,2025-12-30,2025-12-31,500,20,Preparing,Pasig,1,
S000092,O000092,J&T Express, 746536261 ,2025-06-16 05:47:00,2025-06-24,2025-06-27,,1,Delayed,Iloilo,2,
S000093,O000093,Ninja Van, 773294743 ,2025-11-28 06:46:00,2025-12-01,2025-11-29,180,20,Returned,Quezon City,1,Address issue
S000094,O000094, J&T Express, 821016424 ,2023-11-12 13:29:00,2023-11-20,,80,1,Preparing,Makati,1,Customer unavailable
S000095,O000095,Ninja Van,,2025-08-26 01:09:00,2025-09-06,2025-09-06,500,0.5,Out for Delivery,Caloocan,3,Warehouse delay
S000096,O000096,LBC,,2024-04-19 00:01:00,2024-04-22,2024-04-29,120,10,In Transit,Cebu City,2,Customer unavailable
S000097,O000097,DHL,TRK49888458,2022-01-25 07:40:00,2022-01-31,,350,5,Lost,Iloilo,1,Carrier backlog
S000098,O000098,DHL,,2025-07-10 10:55:00,2025-07-11,2025-07-18,180,1,Delivered,Manila,2,Weather
S000099,O000099,Ninja Van,,2023-10-04 15:00:00,2023-10-07,2023-10-13,100,15,Delayed,Caloocan,3,Customer unavailable
S000100,O000100,LBC,,2024-07-31 00:48:00,,,80,20,Delivered, DAVAO CITY ,2,Weather
S000101,O000101,FedEx ,,2024-12-28 00:24:00,2025-01-07,2025-01-07,,3,Delivered,Antipolo,,Address issue
S000102,O000102,2GO,,2023-05-27 02:53:00,2023-06-03,,80,10,Lost,Cebu City,,
S000103,O000103,DHL, 972791074 ,2024-10-03 16:42:00,2024-10-06,2024-10-12,350,,Out for Delivery ,Davao City,1,Warehouse delay
S000104,O000104,J&T Express,,2025-06-05 09:00:00,2025-06-15,2025-06-19,180,15,Preparing,Manila,,Weather
S000105,O000105,LBC, 532780380 ,2022-06-27 08:32:00,2022-07-05,2022-07-08,150,5,In Transit,Pasig,3,Customer unavailable
S000106,O000106, J&T Express, 256978601 ,2022-07-05 00:15:00,2022-07-09,2022-07-09,150,15,Delivered,Makati,2,
S000107,O000107,JRS Express,,2024-07-08 02:47:00,2024-07-15,2024-07-20,500,0.5,Delayed,Davao City,,Weather
S000108,O000108,Ninja Van,,2024-05-28 10:25:00,2024-06-08,2024-06-08,350,10,Returned,Quezon City,3,Carrier backlog
S000109,O000109,J&T Express,,2024-05-16 03:07:00,2024-05-26,2024-05-27,500,10,Delivered,ANTIPOLO ,1,
S000110,O000110,Ninja Van,,2022-01-21 18:21:00,2022-01-28,2022-01-29,,,Delivered ,Iloilo,1,Warehouse delay
S000111,O000111,2GO, 190587084 ,2022-01-08 03:26:00,2022-01-14,2022-01-14,120,,Delayed,,2,Warehouse delay
S000112,O000112,JRS Express,,2024-01-19 01:27:00,2024-01-24,2024-01-28,180,3,Preparing, Davao City ,1,Carrier backlog
S000113,O000113,FedEx, 792589031 ,2025-02-13 20:33:00,2025-02-23,2025-03-02,500,2,Returned,Makati,1,Customer unavailable
S000114,O000114,FedEx,TRK93048188,2024-08-03 05:01:00,2024-08-08,2024-08-10,180,10,Preparing,,,Carrier backlog
S000115,O000115,Ninja Van,TRK30371833,2023-10-28 13:41:00,2023-11-01,,180,10,Delayed,Davao City,1,
S000116,O000116, FedEx ,TRK76911925,2025-01-07 14:28:00,2025-01-09,,250,3,Out for Delivery, Makati ,2,Carrier backlog
S000117,O000117,DHL,TRK69332060,2024-12-29 04:28:00,2025-01-03,,120,5,Out for Delivery,Makati,3,
S000118,O000118,J&T Express, 186044080 ,2024-05-23 09:42:00,2024-05-25,2024-05-25,180,10,Out for Delivery,Pasig,3,Warehouse delay
S000119,O000119,LBC,,2025-08-29 11:30:00,2025-09-10,2025-09-15,150,,Delayed,Manila,1,Weather
S000120,O000120,JRS Express,,2022-11-18 09:35:00,2022-11-30,2022-11-30,180,1,In Transit, DAVAO CITY ,2,Address issue
S000121,O000121,LBC,TRK97823447,2022-01-31 22:22:00,2022-02-03,,150,0.5, In Transit,Pasig,,Customer unavailable
S000122,O000122,FedEx,TRK53116699,2025-08-17 21:04:00,2025-08-25,2025-08-26,350,2, Delayed ,Taguig,3,
S000123,O000123,Ninja Van,,2022-05-01 19:49:00,2022-05-10,2022-05-15,250,5,Preparing,Iloilo,2,
S000124,O000124,J&T Express, 883331231 ,2022-12-20 16:32:00,2022-12-28,2022-12-31,350,,Delivered,Taguig,1,Warehouse delay
S000125,O000125, NINJA VAN,,2022-08-23 05:32:00,2022-08-24,,180,10,Delayed,Quezon City,1,Customer unavailable
S000126,O000126,DHL,,2022-08-20 20:50:00,2022-08-26,2022-08-30,100,20,Lost,Makati,1,Weather
S000127,O000127,DHL,TRK66516633,2025-04-16 13:24:00,2025-04-28,2025-04-27,150,10, Delayed ,Antipolo,,Weather
S000128,O000128,J&T Express,,2024-12-20 19:28:00,2024-12-25,2024-12-29,180,10,Lost,Caloocan,,Customer unavailable
S000129,O000129,JRS Express,TRK81425166,2022-12-07 21:47:00,2022-12-13,2022-12-15,,20,Delayed,Antipolo,1,Customer unavailable
S000130,O000130,DHL ,,2024-08-21 00:39:00,2024-08-23,2024-08-30,,,In Transit, QUEZON CITY ,1,Customer unavailable
S000131,O000131, LBC, 233387757 ,2023-11-15 14:32:00,2023-11-24,2023-12-01,80,0.5,Preparing,Makati,3,
S000132,O000132,DHL,,2022-12-31 22:58:00,2023-01-04,2023-01-03,80,20,Delivered,Iloilo,3,Address issue
S000133,O000133,2GO,TRK82312218,2022-09-29 20:19:00,2022-10-06,2022-10-05,180,5,,Caloocan,3,Carrier backlog
S000134,O000134,DHL,,2023-11-05 20:11:00,2023-11-07,2023-11-06,100,20,In Transit,Makati,3,Warehouse delay
S000135,O000135,,TRK79245022,2025-09-15 19:42:00,2025-09-23,2025-09-21,80,5,In Transit,Cebu City,2,Warehouse delay
S000136,O000136,Ninja Van,TRK22859611,2022-11-17 21:19:00,2022-11-29,2022-11-27,120,1,Out for Delivery,Davao City,2,Warehouse delay
S000137,O000137,Ninja Van,TRK84904451,2022-10-10 22:38:00,2022-10-21,2022-10-23,500,2,Returned,Pasig,3,Customer unavailable
S000138,O000138,FedEx,TRK77789701,2025-01-07 15:22:00,2025-01-10,2025-01-13,120,20,Returned,Caloocan,1,Weather
S000139,O000139,J&T Express, 365041744 ,2022-07-17 20:15:00,2022-07-26,2022-07-27,150,0.5,Delayed,Iloilo,1,Address issue
S000140,O000140,FedEx,TRK89218939,2025-06-16 07:15:00,2025-06-21,2025-06-24,,10,Preparing,Iloilo,1,
S000141,O000141,J&T Express,TRK10270490,2024-04-29 02:38:00,2024-05-07,2024-05-14,,2,,,1,Customer unavailable
S000142,O000142, 2GO,,2023-03-02 13:23:00,2023-03-09,2023-03-14,350,1,Delivered,,1,Carrier backlog
S000143,O000143,LBC,,2022-06-22 20:33:00,2022-06-28,2022-07-03,100,,Returned,Makati,,Warehouse delay
S000144,O000144,JRS Express, 773004888 ,2022-12-14 15:26:00,2022-12-20,,350,5,Delivered, Davao City,1,Warehouse delay
S000145,O000145,Ninja Van, 462399795 ,2026-01-12 13:06:00,2026-01-13,2026-01-14,120,3,Returned,cebu city ,,Weather
S000146,O000146,J&T Express,TRK12274704,2023-01-19 15:56:00,,,120,10,Returned,Taguig,3,Customer unavailable
S000147,O000147,JRS Express, 722565380 ,2023-01-10 22:52:00,2023-01-11,2023-01-16,80,3,Delivered,Makati,,Warehouse delay
S000148,O000148,FedEx,,2022-10-30 12:02:00,2022-11-03,2022-11-05,80,,Returned, Makati,1,Address issue
S000149,O000149, Ninja Van ,TRK43724731,2022-05-18 23:33:00,2022-05-25,2022-05-23,180,3,,Caloocan,,
S000150,O000150,J&T Express,,2024-11-26 20:33:00,2024-12-07,2024-12-12,500,,Lost,Caloocan,,Address issue
S000151,O000151, DHL, 719289695 ,2025-05-04 02:05:00,2025-05-05,2025-05-11,80,2,Delayed,Davao City,3,
S000152,O000152,J&T Express,,2022-02-18 08:45:00,2022-02-22,2022-02-21,350,5,Returned,iloilo ,1,Customer unavailable
S000153,O000153,JRS Express, 612828138 ,2024-08-30 21:17:00,2024-09-05,2024-09-10,350,3,Out for Delivery,Quezon City,1,
S000154,O000154,Ninja Van,TRK75916120,2024-09-09 19:31:00,2024-09-13,,,1,Out for Delivery,Pasig,1,Carrier backlog
S000155,O000155,FedEx, 729332552 ,2022-02-27 04:33:00,2022-03-01,2022-03-03,,2,Delayed, Cebu City ,,
S000156,O000156,J&T Express,,2023-07-26 09:54:00,2023-07-30,,120,2,Delayed,,,Carrier backlog
S000157,O000157,Ninja Van, 109541255 ,2022-09-24 06:16:00,2022-09-30,2022-10-02,,3,Returned,Iloilo,1,
S000158,O000158,,TRK15365235,2022-11-10 14:01:00,,,500,2,OUT FOR DELIVERY ,Pasig,3,
S000159,O000159,Ninja Van,TRK41711627,2024-06-28 03:27:00,2024-07-06,2024-07-07,100,2,Returned,Caloocan,1,Customer unavailable
S000160,O000160,LBC,,2022-09-05 00:02:00,2022-09-11,2022-09-13,500,20,Preparing,Davao City,1,Customer unavailable
S000161,O000161,2GO , 298423340 ,2023-07-08 05:37:00,2023-07-18,2023-07-16,500,10,Preparing,Manila,1,Customer unavailable
S000162,O000162,J&T Express,TRK11908298,2022-07-24 21:43:00,2022-07-31,2022-08-07,120,15,In Transit,Iloilo,3,Customer unavailable
S000163,O000163,FedEx, 976610740 ,2025-11-05 15:39:00,2025-11-07,2025-11-14,120,15,In Transit,Iloilo,1,Warehouse delay
S000164,O000164,2GO,TRK22783409,2022-04-21 07:10:00,2022-04-30,2022-05-07,180,2,Delayed,Iloilo,,Carrier backlog
S000165,O000165, 2GO,,2024-08-18 20:16:00,2024-08-19,2024-08-17,100,20,Out for Delivery,Cebu City,3,Customer unavailable
S000166,O000166,FedEx,,2023-07-31 06:44:00,2023-08-09,2023-08-10,250,,Delivered,Manila,1,
S000167,O000167,LBC, 263310970 ,2022-10-25 02:46:00,2022-11-01,,80,1,Preparing,Cebu City ,2,Address issue
S000168,O000168,2GO,TRK61248017,2023-09-14 23:02:00,2023-09-23,2023-09-27,500,0.5,In Transit,Taguig,1,Warehouse delay
S000169,O000169,Ninja Van,TRK13423901,2023-12-23 19:23:00,2023-12-27,,500,15,DELIVERED,Antipolo,1,Carrier backlog
S000170,O000170,J&T Express,TRK14798771,2024-01-07 17:27:00,2024-01-10,2024-01-16,,5,Lost, Antipolo ,2,Warehouse delay
S000171,O000171,2GO,TRK94031190,2023-05-15 05:11:00,,,500,15,Out for Delivery,Iloilo,1,Warehouse delay
S000172,O000172, lbc,TRK81583064,2023-05-18 04:19:00,2023-05-22,2023-05-28,80,10,,Manila,3,Warehouse delay
S000173,O000173, J&T EXPRESS,TRK72777237,2025-04-30 04:37:00,2025-05-06,2025-05-09,500,15,OUT FOR DELIVERY,Manila,1,Address issue
S000174,O000174,DHL,,2023-01-12 05:25:00,2023-01-24,2023-01-31,150,3,Preparing,Makati,1,Address issue
S000175,O000175,Ninja Van,TRK88396984,2023-09-10 08:25:00,2023-09-22,2023-09-28,350,,Lost,Davao City,,Warehouse delay
S000176,O000176,,TRK87474633,2024-06-06 16:43:00,2024-06-16,2024-06-16,150,10,Lost,Pasig,1,Warehouse delay
S000177,O000177, DHL,TRK75652029,2022-08-19 18:05:00,2022-08-27,2022-09-01,,,RETURNED,Caloocan,1,Carrier backlog
S000178,O000178,DHL,,2024-09-27 09:52:00,2024-09-30,2024-10-05,350,3,Lost,Antipolo,1,Carrier backlog
S000179,O000179,2GO,,2023-03-20 00:02:00,2023-03-26,2023-03-29,350,15,Returned,Iloilo ,,
S000180,O000180,LBC, 430151275 ,2023-05-29 21:49:00,2023-06-07,2023-06-09,120,10,LOST,Makati,1,Weather
S000181,O000181,LBC,TRK60818137,2023-01-16 22:18:00,2023-01-27,2023-01-30,120,3,Delivered,Pasig,1,
S000182,O000182,FedEx,TRK27658986,2024-07-07 20:06:00,2024-07-11,2024-07-15,100,0.5,Out for Delivery,manila ,,Customer unavailable
S000183,O000183,Ninja Van,,2022-08-04 03:50:00,2022-08-14,2022-08-15,120,5,,Makati,3,Carrier backlog
S000184,O000184,FedEx,,2025-03-30 03:39:00,2025-04-01,2025-04-05,120,1,Out for Delivery,Quezon City ,3,Carrier backlog
S000185,O000185,FedEx, 686127096 ,2025-02-28 01:05:00,2025-03-04,2025-03-04,,1,Out for Delivery,Iloilo,1,Warehouse delay
S000186,O000186,J&T Express,,2025-01-06 15:33:00,2025-01-11,,100,15,Lost, antipolo ,,Address issue
S000187,O000187,J&T Express, 722177182 ,2024-05-29 22:42:00,2024-06-10,,80,3, IN TRANSIT,Makati,1,Address issue
S000188,O000188,JRS EXPRESS ,TRK36224255,2024-01-23 00:41:00,2024-02-04,,350,0.5,Delayed,Makati,1,Carrier backlog
S000189,O000189,Ninja Van,TRK55127734,2025-06-19 15:39:00,2025-06-26,2025-06-29,150,0.5,Out for Delivery,Manila,1,Address issue
S000190,O000190,LBC,TRK69298093,2025-02-23 04:19:00,2025-03-02,,180,20,Delayed,Manila,2,Carrier backlog
S000191,O000191,J&T Express, 248388782 ,2022-06-18 01:12:00,2022-06-29,2022-07-04,250,3,Preparing,Cebu City,2,Warehouse delay
S000192,O000192,DHL,,2025-01-30 22:07:00,2025-02-04,2025-02-05,,5,Delivered ,Taguig,3,Carrier backlog
S000193,O000193,JRS Express,,2024-09-08 23:39:00,2024-09-17,2024-09-16,500,10,Lost,Taguig,3,
S000194,O000194,J&T Express,TRK36283484,2022-02-13 00:18:00,2022-02-23,2022-03-02,250,,Returned,Antipolo,2,Weather
S000195,O000195,LBC,TRK56582345,2023-10-02 01:01:00,2023-10-06,2023-10-12,80,20,Lost, Caloocan ,1,Carrier backlog
S000196,O000196,J&T Express,,2022-03-15 08:42:00,2022-03-21,2022-03-28,,,Returned,Manila,1,Address issue
S000197,O000197,FedEx,TRK87158291,2023-12-06 01:48:00,2023-12-13,2023-12-14,80,1,Delayed,Taguig,1,
S000198,O000198,2GO,TRK36202033,2025-07-06 14:30:00,2025-07-13,2025-07-16,500,20,Delivered,Antipolo,1,Address issue
S000199,O000199,fedex ,,2025-06-21 16:44:00,2025-06-27,2025-06-27,350,5,Preparing,Antipolo,1,Warehouse delay
S000200,O000200,J&T Express,TRK67305379,2024-02-04 19:14:00,2024-02-05,,80,10,Lost,Davao City,1,Weather
S000201,O000201,DHL,,2025-10-12 21:37:00,2025-10-23,2025-10-28,150,10, Lost,Caloocan,3,Weather
S000202,O000202, JRS EXPRESS ,,2023-08-14 22:59:00,,,180,,Returned,Quezon City,1,Address issue
S000203,O000203,2GO,TRK89152915,2025-02-01 05:03:00,2025-02-07,2025-02-13,350,20,Returned,Makati,1,Address issue
S000204,O000204,J&T Express, 780384974 ,2022-08-29 04:24:00,2022-09-08,2022-09-06,,10,Delivered,Iloilo,1,Weather
S000205,O000205,Ninja Van,TRK64445883,2022-07-24 21:32:00,2022-08-05,2022-08-03,80,15,In Transit,Caloocan,1,Customer unavailable
S000206,O000206,J&T Express,TRK56687226,2023-09-17 08:38:00,2023-09-20,2023-09-18,350,,Out for Delivery,Caloocan,2,Warehouse delay
S000207,O000207,JRS Express,TRK80398814,2025-07-09 08:49:00,2025-07-18,2025-07-22,350,3,Returned,Manila,3,Carrier backlog
S000208,O000208,LBC,TRK45275767,2022-03-07 22:09:00,2022-03-10,2022-03-14,80,20,Returned,Antipolo,1,Carrier backlog
S000209,O000209, J&T Express,,2023-03-11 09:21:00,2023-03-18,2023-03-17,500,2,Lost,Quezon City,3,Weather
S000210,O000210,2GO,,2023-12-16 01:26:00,2023-12-22,2023-12-22,250,2, out for delivery,Davao City,,Weather
S000211,O000211,J&T Express, 460836798 ,2022-06-01 07:11:00,2022-06-10,2022-06-17,80,5,Out for Delivery,Makati,1,Address issue
