return_id,order_id,customer_id,return_date,return_reason,refund_amount,return_status,inspection_result
R00151,O000930,C00270,2025-05-22,changed mind ,9999,Completed,
R00152,O000900,C00638,2023-01-20,,2999,Requested,Passed
R00153,O001699,C00424,2024-03-08,Wrong Item,799,Completed,
R00154,O002808,C00603,2024-07-05,Damaged,799,Pending,Not Inspected
R00155,O004779,C00267,2022-07-01,Changed Mind,999,Requested,Passed
R00156,O003677,C00960,2023-01-28,,9999,Requested,Failed
R00157,O001530,C00475,2022-05-03,Late Delivery,2999,COMPLETED ,Passed
R00158,O000441,C00283,2023-06-20,Changed Mind,799,Completed,
R00159,O003715,C00050,2024-11-27, NOT AS DESCRIBED,799,Approved,Not Inspected
R00160,O000377,C00588,2025-10-02,Changed Mind,,Rejected,Failed
R00161,O003950,C00010,2023-06-29,Damaged,799,Completed,Not Inspected
R00162,O000361,C00246,2025-08-04,Defective,9999,Requested,Failed
R00163,O003056,C00828,2022-11-14,Not as Described,2999,Approved,Failed
R00164,O002382,C00645,2022-06-24,Not as Described,,Approved,Passed
R00165,O002237,C00051,2024-02-25,Late Delivery,999,Approved,
R00166,O001282,C00319,2022-03-17,late delivery ,2999,Completed,Passed
R00167,O004901,C00002,2025-10-05,Wrong Item,799,Rejected,
R00168,O000894,C00690,2023-09-08,Changed Mind,499,Requested,
R00169,O000110,C00844,2025-08-20,Late Delivery,999, completed ,Not Inspected
R00170,O002756,C00291,2022-07-25,Changed Mind,4999,Requested,Not Inspected
R00171,O004155,C00522,2024-03-29,Late Delivery,499,Requested,Not Inspected
R00172,O003240,C00093,2024-03-14,Not as Described,,Approved ,Failed
R00173,O001926,C00476,2025-12-18,Changed Mind,1499,Pending,Passed
R00174,O001143,C00976,2024-05-27,Changed Mind,799,Pending,Passed
R00175,O004400,C00455,2025-06-17,Defective,9999,Pending,Passed
R00176,O003357,C00752,2025-11-21,Not as Described,999,Approved,Passed
R00177,O001897,C00384,2025-03-31,Wrong Item,1499,Approved,
R00178,O003020,C00762,2023-06-21, Defective,799, rejected,
R00179,O003977,C00847,2024-11-05,Wrong Item,,Completed,Not Inspected
R00180,O000418,C00665,2025-01-27,Wrong Item,4999,REJECTED,Failed
R00181,O002580,C00244,2025-02-06,Not as Described,,Rejected,Not Inspected
R00182,O002825,C00743,2024-11-10,Late Delivery,4999,Completed,Failed
R00183,O000326,C00407,2022-08-31,Late Delivery,,Completed,
R00184,O000619,C00111,2023-07-02,Not as Described,,Completed,
R00185,O004495,C00914,2023-05-24,Late Delivery,799,Completed,Failed
R00186,O001709,C00490,2023-09-04,Wrong Item,799,Pending,Passed
R00187,O003237,C00414,2025-01-29,,4999,Approved,Not Inspected
R00188,O004580,C00385,2022-04-22,Late Delivery,1499, Pending ,
R00189,O000512,C00372,2022-04-08,Not as Described,2999,Pending,Failed
R00190,O001421,C00511,2025-04-08,Changed Mind,4999,Rejected,Not Inspected
R00191,O000015,C00116,2023-07-11,Wrong Item,1499, APPROVED ,
R00192,O002650,C00673,2024-01-25,Defective,799,Completed,Not Inspected
R00193,O004034,C00366,2025-06-13,Defective,499,Approved,Failed
R00194,O001661,C00532,2024-04-04,Defective,,Completed,Passed
R00195,O004131,C00892,2024-03-13,,499,Rejected,Passed
R00196,O000271,C00826,2023-11-18,Defective,1499,,Not Inspected
R00197,O000128,C00186,2023-07-18,Damaged,2999,rejected,
R00198,O003997,C00398,2022-09-26,Not as Described,4999, Completed,Failed
R00199,O001122,C00161,2023-02-15,Damaged,,Requested,Failed
R00200,O004519,C00502,2022-11-26,Late Delivery,1499, Requested,Not Inspected
R00201,O003257,C00362,2025-04-03,Changed Mind,799, Pending,Failed
R00202,O000342,C00742,2024-02-08,Changed Mind,999,Pending,Not Inspected
R00203,O000578,C00741,2025-04-20,Defective,1499,Completed,Failed
R00204,O002630,C00386,2022-05-28,Not as Described,1499,Pending,Passed
R00205,O002583,C00180,2024-05-07,Wrong Item,1499,Pending,
R00206,O001910,C00871,2023-08-11, Damaged ,999,Approved,
R00207,O000543,C00505,2025-02-10,Defective,499,Rejected,Not Inspected
R00208,O001532,C00839,2024-12-21,Wrong Item,,Requested,Not Inspected
R00209,O002846,C00952,2024-02-27,Late Delivery,1499,Rejected,
R00210,O004799,C00293,2024-09-20,Defective,9999, Completed ,Not Inspected
R00211,O002061,C00834,2024-07-27,Not as Described,,Completed,Not Inspected
R00212,O004946,C00677,2023-08-31, DAMAGED ,1499,Pending,Failed
R00213,O001686,C00650,2025-05-12,Damaged,1499,Approved,Passed
R00214,O001676,C00499,2023-08-01,Damaged,799,Pending,Failed
R00215,O003505,C00080,2022-10-03,Changed Mind,799,Completed,
R00216,O004110,C00041,2022-10-31,Defective,2999,Approved,
R00217,O000436,C00613,2025-04-09,Defective,999, Pending,Passed
R00218,O000910,C00187,2024-12-19,Defective,2999,Requested,
R00219,O001099,C00143,2023-11-25,not as described,2999,Approved,Failed
R00220,O001662,C00776,2025-09-22,Changed Mind,9999, completed,Not Inspected
R00221,O001789,C00760,2025-12-07,Defective,499,,Not Inspected
R00222,O002527,C00840,2025-04-16,Not as Described,499,Completed,Passed
R00223,O000039,C00030,2023-06-13,wrong item,9999,Pending,Failed
R00224,O001396,C00589,2023-06-03,Wrong Item,9999,Approved,Passed
R00225,O001964,C00341,2025-10-17,,2999,Approved,Passed
R00226,O000931,C00871,2025-03-02, Changed Mind,799,Approved,
R00227,O002301,C00101,2023-12-30,Damaged,9999,Rejected,
R00228,O002839,C00510,2022-07-23,Late Delivery,,Completed,Not Inspected
R00229,O001155,C00107,2022-11-14,Wrong Item ,799,Approved,
R00230,O002295,C00686,2024-02-17,Damaged,799,Approved,
R00231,O003161,C00931,2022-02-11,Defective,,Requested,Failed
R00232,O003055,C00173,2024-07-04,Late Delivery,799,Pending,Failed
R00233,O001579,C00509,2023-08-13,Defective,999,Requested,
R00234,O001032,C00964,2023-10-10,Damaged,999, Completed,Passed
R00235,O000981,C00475,2022-02-14,Not as Described,1499, APPROVED,Failed
R00236,O002173,C00496,2023-11-20, not as described ,2999, REQUESTED ,Failed
R00237,O003800,C00923,2023-08-10,Late Delivery,499,Completed,Not Inspected
R00238,O002115,C00017,2023-08-15,Damaged,4999,,
R00239,O000449,C00026,2024-08-04,Changed Mind,2999,Rejected,Passed
R00240,O002419,C00566,2022-05-01,Changed Mind,2999,Completed,Not Inspected
R00241,O004793,C00826,2025-10-31,Not as Described,999,Rejected,Failed
R00242,O000391,C00978,2025-09-04,Not as Described,2999,Pending,Passed
R00243,O001445,C00307,2024-07-07,Damaged ,,Approved,Passed
R00244,O003836,C00464,2024-04-26,,1499, requested,Failed
R00245,O003821,C00696,2024-10-16,Wrong Item,4999,Pending,Passed
R00246,O004163,C00023,2024-08-15,Not as Described,4999,Approved,Failed
R00247,O003981,C00788,2025-09-30,Changed Mind,2999,Rejected,Failed
R00248,O003001,C00117,2022-04-19,WRONG ITEM ,999,Requested,Passed
R00249,O000212,C00132,2025-09-23,Changed Mind,2999,Completed,Failed
R00250,O003326,C00616,2022-10-09,Late Delivery,,Pending,Failed
R00251,O003631,C00375,2025-12-28,Damaged,999,Requested,
R00252,O001662,C00871,2025-10-09,Late Delivery,799,Rejected,Passed
R00253,O001899,C00168,2022-07-23,Changed Mind,9999,Pending,Passed
R00254,O001691,C00323,2025-04-29,Changed Mind,4999,Approved,
R00255,O002106,C00593,2022-10-02,Changed Mind,1499,Requested,Failed
R00256,O002589,C00394,2025-02-09,Damaged,799,Approved,Not Inspected
R00257,O001170,C00888,2023-03-28,Defective,9999,completed,
R00258,O003787,C00540,2024-01-30,Defective,4999,COMPLETED ,Failed
R00259,O002151,C00313,2023-05-03,Late Delivery,,Completed,Passed
R00260,O002252,C00021,2022-01-10,,499,Pending,Failed
R00261,O004709,C00242,2025-11-11,Wrong Item,2999,Rejected,Passed
R00262,O004958,C00405,2022-08-02,Defective,999,Rejected,
R00263,O001937,C00454,2025-10-27,Defective,799,Pending,Passed
R00264,O003126,C00719,2023-12-24,Changed Mind,499,Requested,Failed
R00265,O000602,C00238,2023-09-16,Changed Mind,4999,Approved,Not Inspected
R00266,O001448,C00321,2024-01-16,Damaged,999, Requested,Passed
R00267,O003344,C00263,2025-08-03,Changed Mind,2999,Pending,Failed
R00268,O002425,C00463,2025-10-06,Not as Described,799, Requested ,
R00269,O000753,C00899,2024-07-17,Changed Mind,, Requested,Passed
R00270,O004084,C00675,2024-01-22,Defective,799,Approved,Passed
R00271,O000335,C00589,2025-04-23,Late Delivery,499,Rejected,Failed
R00272,O001031,C00512,2023-12-13,Damaged ,9999,APPROVED ,Not Inspected
R00273,O000111,C00051,2024-06-19,Wrong Item,2999,Requested,
R00274,O002793,C00486,2025-10-05,Defective,999,Requested,Failed
R00275,O004796,C00930,2024-02-10, NOT AS DESCRIBED ,799,Approved,Failed
R00276,O004768,C00273,2023-08-16,Late Delivery,999,Approved,Passed
R00277,O000137,C00605,2025-05-14,Wrong Item,999,Pending,Passed
R00278,O003670,C00441,2025-05-27,not as described ,499,Pending,
R00279,O004835,C00672,2023-09-09,Changed Mind,2999,Approved,Failed
R00280,O001631,C00671,2023-09-30,Wrong Item,499,Pending,Failed
R00281,O003273,C00346,2022-07-02, NOT AS DESCRIBED,799,Completed,Failed
R00282,O000587,C00423,2023-05-18,Damaged,2999,Completed,Failed
R00283,O002908,C00076,2022-02-24,Late Delivery ,2999, approved,Failed
R00284,O001156,C00043,2025-08-11,Damaged,9999,Completed,
R00285,O000080,C00249,2022-07-17,Wrong Item,499,Pending,Failed
R00286,O004861,C00196,2024-05-31,Wrong Item,799,Approved,Passed
R00287,O004064,C00664,2025-03-23,Not as Described ,2999,Rejected,Failed
R00288,O002938,C00259,2022-06-20,Damaged,499,Approved,Failed
R00289,O001623,C00948,2024-09-07,Not as Described,2999,Approved,
R00290,O002323,C00251,2024-03-14,Damaged,1499,Approved,
R00291,O001983,C00305,2025-05-27,Wrong Item,2999,Completed,Failed
R00292,O003572,C00419,2025-12-08,Late Delivery,4999,Completed,
R00293,O002472,C00877,2023-01-14,Damaged,999,Requested,
R00294,O002888,C00190,2023-02-23,Changed Mind,499,Approved,Passed
R00295,O001055,C00078,2024-03-06,Changed Mind,4999, REJECTED,Passed
R00296,O000382,C00288,2025-05-23,Defective,1499,Requested ,
R00297,O004213,C00033,2022-07-16,Late Delivery,1499,Rejected,Not Inspected
R00298,O003172,C00756,2025-03-14,Damaged,9999,Pending,
R00299,O001843,C00129,2024-07-26,Defective,1499,Requested,Not Inspected
R00300,O004585,C00547,2025-04-06,,9999,Pending,
R00301,O002480,C00592,2024-12-31,Not as Described,,Rejected,Failed
R00302,O001645,C00776,2024-04-30,Late Delivery,799,Completed,Passed
R00303,O002238,C00160,2023-12-24,Damaged,799,Requested,Not Inspected
R00304,O000466,C00159,2022-02-14,Damaged,,Completed,Passed
R00305,O002913,C00276,2022-07-10,Changed Mind,,Requested,Passed
R00306,O004322,C00804,2023-02-26,Not as Described,799,Approved,Not Inspected
R00307,O001112,C00659,2025-03-27,Late Delivery,999,Pending,Not Inspected
R00308,O000145,C00261,2022-07-18,Not as Described,2999,Pending,
R00309,O002692,C00713,2024-02-28,DEFECTIVE,499,Approved,Not Inspected
R00310,O000602,C00627,2023-12-10,,799,Approved,Failed
R00311,O002178,C00700,2024-06-10,Changed Mind,2999,Rejected,Passed
R00312,O003301,C00292,2023-07-17,Not as Described,499, Approved ,Failed
R00313,O003501,C00282,2024-03-25, Wrong Item,1499,Approved,Passed
R00314,O003124,C00658,2023-07-08,Damaged,2999,Approved,Not Inspected
R00315,O000844,C00644,2022-04-24,Damaged,799,Pending,Not Inspected
R00316,O002148,C00274,2022-05-02,Changed Mind,4999,Requested,Not Inspected
R00317,O004521,C00870,2024-11-12,Wrong Item,2999,Requested,Not Inspected
R00318,O003243,C00297,2025-09-11, Damaged ,4999,Approved,Failed
R00319,O003380,C00500,2024-10-13,Damaged,999,Completed,Passed
R00320,O002008,C00997,2023-08-08,Damaged,4999,,Not Inspected
R00321,O003014,C00946,2022-11-23, defective ,499,Requested,Not Inspected
R00322,O001548,C00634,2025-10-16, damaged,2999,Approved,
R00323,O001912,C00320,2025-12-20,Late Delivery,799,Pending,Passed
R00324,O004722,C00717,2025-02-07,Not as Described,499,Completed,Passed
R00325,O004993,C00888,2025-07-04,Changed Mind,4999,Rejected,Failed
R00326,O003376,C00439,2023-11-07,Not as Described,4999,,Failed
R00327,O000117,C00361,2025-09-21,Not as Described,4999,Approved,
R00328,O000957,C00899,2024-01-22,Late Delivery,, Pending ,Failed
R00329,O003282,C00716,2022-01-22,Late Delivery,1499,,Not Inspected
R00330,O003392,C00059,2024-01-22,Wrong Item,499,Requested,
R00331,O001392,C00860,2025-09-11, NOT AS DESCRIBED,499,Requested,Passed
R00332,O003164,C00303,2022-10-15,Changed Mind,499,Pending,Failed
R00333,O004733,C00582,2025-11-19,Defective,4999,Approved,Failed
R00334,O004833,C00327,2023-09-09,Not as Described,999,Rejected ,Not Inspected
R00335,O002873,C00691,2023-12-11,Changed Mind,9999,Approved,Failed
R00336,O001077,C00051,2025-06-04,Not as Described,999,Completed,
R00337,O004502,C00040,2022-08-10,Not as Described,4999, pending ,Not Inspected
R00338,O003115,C00342,2025-01-03,Not as Described,4999,Requested,Passed
R00339,O000725,C00570,2022-05-19,Wrong Item,999,Completed,Passed
R00340,O000306,C00993,2025-08-24,DAMAGED,4999, Approved,Failed
R00341,O002627,C00603,2022-08-06,Late Delivery,4999,Approved,Not Inspected
R00342,O004643,C00310,2023-11-08,Late Delivery,499,,
R00343,O000790,C00370,2025-03-02,Wrong Item,,Pending,Not Inspected
R00344,O000403,C00031,2025-01-16,Wrong Item,4999,Approved,Passed
R00345,O002469,C00421,2024-05-14,Late Delivery,4999,Rejected,Passed
R00346,O001207,C00909,2023-04-12,Changed Mind,4999,,Not Inspected
R00347,O002616,C00461,2022-07-19,Late Delivery,,Requested,
R00348,O003009,C00599,2025-02-20,Damaged,2999,Pending,Failed
R00349,O004430,C00286,2023-12-02,Late Delivery,1499,Rejected,Not Inspected
R00350,O004333,C00700,2025-05-28,Changed Mind,9999,Requested,Failed
R00351,O001928,C00516,2025-03-16,Damaged,999,Rejected,
R00352,O004224,C00192,2022-04-30,Defective,1499,Requested,Not Inspected
R00353,O000605,C00191,2022-12-15,Wrong Item,999,Rejected,Not Inspected
R00354,O000930,C00470,2022-03-14,Damaged,499, Completed,Not Inspected
R00355,O002904,C00230,2022-08-09,Not as Described,,Approved,
R00356,O003265,C00402,2024-08-20, CHANGED MIND,9999, rejected ,Not Inspected
R00357,O004920,C00098,2022-08-28,Defective,,Completed,Not Inspected
R00358,O000399,C00983,2023-09-20,Defective,4999,Completed,Not Inspected
R00359,O004007,C00115,2023-11-01,Late Delivery,9999,Rejected,Passed
R00360,O000709,C00003,2022-01-08,Not as Described,799,Requested,Failed
R00361,O004490,C00992,2025-01-01,Not as Described,9999,Pending,
R00362,O004879,C00076,2025-04-26, Defective ,799,Pending,
R00363,O004292,C00650,2023-03-05,Wrong Item,499,Requested,
R00364,O003238,C00034,2025-10-16,Changed Mind,499,Pending,Passed
R00365,O004949,C00160,2023-05-13,Changed Mind,799,Requested,Failed
R00366,O002709,C00886,2023-11-27,Late Delivery,4999, Pending ,
R00367,O004142,C00597,2024-07-15, CHANGED MIND ,4999,Rejected,Failed
R00368,O002673,C00657,2025-08-03,Defective,1499,Completed,Passed
R00369,O004399,C00213,2025-07-22,Wrong Item,9999,Approved,Not Inspected
R00370,O000283,C00715,2022-11-23,Not as Described,4999,Approved,
R00371,O002024,C00454,2023-08-20,Damaged,9999,Rejected,Not Inspected
R00372,O004076,C00673,2025-03-18,Wrong Item ,9999,Requested,Not Inspected
R00373,O002612,C00140,2024-01-19,Wrong Item,799,Approved,Failed
R00374,O000928,C00489,2022-12-19,Damaged,9999,Approved,
R00375,O001886,C00309,2023-01-20, Changed Mind ,1499,Requested ,
R00376,O001509,C00553,2023-03-09,Defective,4999,Pending,Failed
R00377,O003928,C00648,2024-09-01,Not as Described,1499,Requested,
R00378,O003060,C00441,2024-01-31,NOT AS DESCRIBED,499,Rejected,
R00379,O001830,C00532,2022-08-26,Defective,799,Completed,Failed
R00380,O004470,C00906,2025-06-28,Damaged,499,Completed,Passed
R00381,O003991,C00630,2023-04-06,Not as Described,499,Rejected,Not Inspected
R00382,O000388,C00040,2022-12-16,Late Delivery,1499,Pending,Failed
R00383,O003701,C00538,2024-11-05,Late Delivery,1499,Requested,Not Inspected
R00384,O001678,C00394,2025-01-06,Defective ,,Approved,
R00385,O001346,C00781,2024-05-25,Wrong Item,9999,Pending,
R00386,O002211,C00130,2023-01-11,Damaged,2999, Approved,
R00387,O003860,C00332,2025-07-14,Wrong Item,4999,Completed,Not Inspected
R00388,O004203,C00998,2022-05-14,Not as Described,1499,Requested,Passed
R00389,O003719,C00564,2022-04-09,Not as Described,,Approved,Passed
R00390,O001505,C00349,2022-10-12,Wrong Item,9999,Completed,Passed
R00391,O000911,C00598,2024-01-04,Late Delivery,4999,Pending,Not Inspected
